Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
Datadog,hardware&software," 2,24,00,000 ",1,NY,New York,4,2010/1/1,1,2010-Q1,1,0,1,1,0,0,0,4
Datagres Technologies,web," 20,00,000 ",1,CA,Palo Alto,1,2010/1/1,1,2010-Q1,1,0,1,0,0,0,2,2
DataMarket,hardware&software," 12,00,000 ",1,MA,Cambridge,1,2008/6/26,6,2008-Q2,1,0,1,0,0,0,3,3
Datameer,hardware&software," 3,67,50,000 ",1,CA,San Francisco,4,2009/9/1,9,2009-Q3,1,0,1,1,1,1,1,4
Dataminr,analytics," 4,95,66,000 ",1,NY,New York,4,2009/1/1,1,2009-Q1,1,0,1,1,1,0,1,4
DataPad,analytics," 17,00,000 ",1,CA,San Francisco,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,0,0
Dataupia,hardware&software," 4,10,00,000 ",1,MA,Cambridge,3,2005/1/1,1,2005-Q1,1,0,1,1,0,0,1,4
Datavolution,hardware&software," 5,00,000 ",1,CA,San Francisco,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,1,1
Datical,hardware&software," 46,60,000 ",1,TX,Austin,3,2012/1/1,1,2012-Q1,1,0,1,0,0,0,0,1
Datran Media,advertising," 6,94,77,054 ",1,NY,New York,2,1998/1/1,1,1998-Q1,1,0,0,0,0,0,7,13
Daylight Solutions,biotechnology," 3,10,00,000 ",1,CA,San Diego,4,2004/12/1,12,2004-Q4,1,0,1,0,1,0,2,7
Dazzling Beauty Group,e-commerce," 1,50,000 ",0,CA,San Francisco,1,2011/2/1,2,2011-Q1,0,0,0,0,0,0,0,0
Deal Co-op,finance," 5,16,000 ",1,WA,Seattle,2,2010/8/1,8,2010-Q3,0,1,0,0,0,0,0,1
Deal Decor,e-commerce," 12,00,000 ",0,CA,San Francisco,1,2011/1/1,1,2011-Q1,0,0,0,0,0,0,1,1
Dealdrive,hardware&software," 3,75,000 ",1,NY,New York,1,2012/1/1,1,2012-Q1,1,0,0,0,0,0,1,1
deCarta,hardware&software," 5,60,63,148 ",1,CA,San Jose,6,1996/1/1,1,1996-Q1,1,0,0,0,1,1,9,16
DeciZium,travel," 15,00,000 ",1,CA,San Jose,1,2006/1/1,1,2006-Q1,0,1,0,0,0,0,2,2
Deehubs,advertising,"47,000",1,WA,Seattle,2,2014/1/4,1,2014-Q1,0,0,0,0,0,0,0,0
Deem,e-commerce," 51,69,05,435 ",1,CA,San Francisco,11,2000/1/1,1,2000-Q1,1,0,0,0,1,1,4,14
Deepclass,fashion," 43,50,000 ",1,NY,New York,1,2013/1/10,1,2013-Q1,0,0,0,0,0,0,0,0
DeepDyve,web," 53,75,000 ",1,CA,Sunnyvale,2,2005/1/1,1,2005-Q1,1,0,1,0,0,0,4,4
Defense Mobile,mobile," 1,00,00,000 ",1,NY,New York,1,2012/1/1,1,2012-Q1,1,0,0,0,0,0,1,1
Dekkun,biotechnology," 1,00,00,000 ",1,MA,Cambridge,1,2011/1/1,1,2011-Q1,1,0,0,0,0,0,0,0
Delectable,e-commerce," 30,00,000 ",1,CA,San Francisco,2,2011/1/1,1,2011-Q1,1,0,1,0,0,0,1,3
